_key,Id,Equipo,Zona,puntos,PJ,PG,PE,PP,GF,GC,DG
01,01,Agropecuario,A,9,3,3,0,0,5,0,5
02,02,Aldosivi,B,3,3,0,0111,0,0,0,0
03,03,All Boys,A,5,3,1,011,0,6,3,3
04,04,Almagro,B,1,3,0,01,2,-3,1,-4
05,05,Almirante Brown SJ,A,0,0,0,0,0,0,0,0
06,06,Alvarado MdP,A,0,0,0,0,0,0,0,0
07,07,Arsenal ,A,0,0,0,0,0,0,0,0
08,08,Atlanta,B,7,3,2,01,0,3,1,2
09,09,A Rafaela,B,0,0,0,0,0,0,0,0
10,10,Brown (A),B,3,3,0,0111,0,0,0,0
11,11,Brown (PM),A,3,3,0,0111,0,0,0,0
12,12,Chacarita,A,5,3,1,011,0,2,0,2
13,13,Chaco For Ever,B,5,3,1,011,0,1,0,1
14,14,Colón,B,0,0,0,0,0,0,0,0
15,15,Def Belgrano,B,0,0,0,0,0,0,0,0
16,16,Def Unidos,B,0,0,0,0,0,0,0,0
17,17,Dep Madryn,B,0,0,0,0,0,0,0,0
18,18,Dep Maipú,A,0,0,0,0,0,0,0,0
19,19,Dep Morón,B,0,0,0,0,0,0,0,0
20,20,Estudiantes (BA),A,5,3,1,011,0,3,2,1
21,21,Estudiantes (RC),B,2,3,0,011,1,0,1,-1
22,22,Ferro,A,3,3,0,0111,0,0,0,0
23,23,Gimnasia (J),A,5,3,1,011,0,1,0,1
25,25,Gimnasia (S),B,2,3,0,011,1,0,1,-1
24,24,Gimnasia (M),B,3,3,0,0111,0,0,0,0
26,26,Guemes (SdE),A,3,3,0,0111,0,0,0,0
27,27,Mitre (SdE) ,B,0,0,0,0,0,0,0,0
28,28,Nueva Chicago,B,5,3,1,011,0,1,0,1
29,29,Patronato,A,2,3,0,011,1,2,3,-1
30,30,Quilmes*,A,-3,0,0,0,0,0,0,0
31,31,Racing (C),A,2,3,0,011,1,0,1,-1
32,32,San Martin (SJ),A,3,3,0,0111,0,0,0,0
33,33,San Martin (T),A,2,3,0,011,1,4,6,-2
34,34,San Miguel,A,2,3,0,011,1,2,3,-1
35,35,San Telmo,B,3,3,0,0111,0,0,0,0
36,36,Talleres (RdE),A,3,3,0,0111,0,1,1,0
37,37,Temperley,B,3,12,0,0111,0,0,0,0
38,38,Tristán Suárez,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,
