Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,07,A,San Martin (T),0,0,Estudiantes (BA),A
2,07,B,Aldosivi,0,0,Estudiantes (RC),B
3,07,B,Mitre (SdE),0,0,Colon,B
4,07,B,Gimnasia (S),0,0,Alte Brown,B
5,07,B,Gimnasia (M),0,0,Atlanta,B
6,07,B,Nueva Chicago,0,0,Def. Unidos,B
7,07,B,Dep. Moron,0,0,Dep. Madryn,B
8,07,B,Temperley,0,0,Atl Rafaela,B
9,07,B,Brown (A),0,0,San Telmo,B
10,07,B,Almagro,0,0,Chaco For Ever,B
11,07,A,Racing (C),0,0,Alvarado,A
12,07,A,Patronato,0,0,Guemes (SdE),A
13,07,A,Tristan Suarez,0,0,Gimnasia (J),A
14,07,A,All Boys,0,0,Dep. Maipu,A
15,07,A,Agropecuario,0,0,Ferro,A
16,07,A,Brown (PM),0,0,San Miguel,A
17,07,A,San Martin (SJ),0,0,Quilmes,A
18,07,A,Arsenal,0,0,Talleres (RdE),A
19,07,A,Chacarita,0,0,Def. de Belgrano,B
