Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,19,A,Tristan Suarez,0,0,Agropecuario,A
2,19,B,Temperley,0,0,Dep. Moron,B
3,19,B,Brown (A),0,0,Nueva Chicago,B
4,19,B,Almagro,0,0,Gimnasia (M),B
5,19,B,Def. de Belgrano,0,0,Gimnasia (S),B
6,19,B,Chaco For Ever,0,0,Mitre (SdE),B
7,19,B,San Telmo,0,0,Aldosivi,B
8,19,B,Atl Rafaela,0,0,Estudiantes (RC),B
9,19,B,Dep. Madryn,0,0,Colon,B
10,19,B,Def. Unidos,0,0,Alte Brown,B
11,19,A,San Miguel,0,0,Quilmes,A
12,19,A,Ferro,0,0,Talleres (RdE),A
13,19,A,Dep. Maipu,0,0,Estudiantes (BA),A
14,19,A,Gimnasia (J),0,0,Chacarita,A
15,19,A,Guemes (SdE),0,0,San Martin (T),A
16,19,A,Alvarado,0,0,Arsenal,A
17,19,A,Racing (C),0,0,San Martin (SJ),A
18,19,A,Patronato,0,0,Brown (PM),A
19,19,A,All Boys,0,0,Atlanta,B
