Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,20,A,San Miguel,0,0,Talleres (RdE),A
2,20,B,Atlanta,0,0,Alte Brown,B
3,20,B,Def. Unidos,0,0,Colon,B
4,20,B,Dep. Madryn,0,0,Estudiantes (RC),B
5,20,B,Atl Rafaela,0,0,Aldosivi,B
6,20,B,San Telmo,0,0,Mitre (SdE),B
7,20,B,Chaco For Ever,0,0,Gimnasia (S),B
8,20,B,Def. de Belgrano,0,0,Gimnasia (M),B
9,20,B,Almagro,0,0,Nueva Chicago,B
10,20,B,Brown (A),0,0,Dep. Moron,B
11,20,A,Tristan Suarez,0,0,All Boys,A
12,20,A,Patronato,0,0,Agropecuario,A
13,20,A,Racing (C),0,0,Brown (PM),A
14,20,A,Alvarado,0,0,San Martin (SJ),A
15,20,A,Guemes (SdE),0,0,Arsenal,A
16,20,A,Gimnasia (J),0,0,San Martin (T),A
17,20,A,Dep. Maipu,0,0,Chacarita,A
18,20,A,Ferro,0,0,Estudiantes (BA),A
19,20,B,Temperley,0,0,Quilmes,A
