Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,33,A,Gimnasia (J),0,0,Ferro,A
2,33,B,Atl Rafaela,0,0,Dep. Madryn,B
3,33,B,San Telmo,0,0,Def. Unidos,B
4,33,B,Chaco For Ever,0,0,Atlanta,B
5,33,B,Def. de Belgrano,0,0,Alte Brown,B
6,33,B,Almagro,0,0,Colon,B
7,33,B,Brown (A),0,0,Estudiantes (RC),B
8,33,B,Temperley,0,0,Aldosivi,B
9,33,B,Dep. Moron,0,0,Mitre (SdE),B
10,33,B,Nueva Chicago,0,0,Gimnasia (S),B
11,33,A,Brown (PM),0,0,San Martin (SJ),A
12,33,A,Agropecuario,0,0,Arsenal,A
13,33,A,All Boys,0,0,San Martin (T),A
14,33,A,Tristan Suarez,0,0,Chacarita,A
15,33,A,Patronato,0,0,Estudiantes (BA),A
16,33,A,Racing (C),0,0,Talleres (RdE),A
17,33,A,Alvarado,0,0,Quilmes,A
18,33,A,Guemes (SdE),0,0,San Miguel,A
19,33,A,Dep. Maipu,0,0,Gimnasia (M),B
