Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,28,A,Chacarita,0,0,Arsenal,A
2,28,B,Aldosivi,0,0,Mitre (SdE),B
3,28,B,Estudiantes (RC),0,0,Gimnasia (S),B
4,28,B,Colon,0,0,Gimnasia (M),B
5,28,B,Alte Brown,0,0,Nueva Chicago,B
6,28,B,Atlanta,0,0,Dep. Moron,B
7,28,B,Def. Unidos,0,0,Temperley,B
8,28,B,Dep. Madryn,0,0,Brown (A),B
9,28,B,Atl Rafaela,0,0,Almagro,B
10,28,B,San Telmo,0,0,Def. de Belgrano,B
11,28,A,Guemes (SdE),0,0,Alvarado,A
12,28,A,Gimnasia (J),0,0,Racing (C),A
13,28,A,Dep. Maipu,0,0,Patronato,A
14,28,A,Ferro,0,0,Tristan Suarez,A
15,28,A,San Miguel,0,0,All Boys,A
16,28,A,Quilmes,0,0,Agropecuario,A
17,28,A,Talleres (RdE),0,0,Brown (PM),A
18,28,A,Estudiantes (BA),0,0,San Martin (SJ),A
19,28,B,Chaco For Ever,0,0,San Martin (T),A
