Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,29,A,Alvarado,0,0,Gimnasia (J),A
2,29,B,Chaco For Ever,0,0,San Telmo,B
3,29,B,Def. de Belgrano,0,0,Atl Rafaela,B
4,29,B,Almagro,0,0,Dep. Madryn,B
5,29,B,Brown (A),0,0,Def. Unidos,B
6,29,B,Temperley,0,0,Atlanta,B
7,29,B,Dep. Moron,0,0,Alte Brown,B
8,29,B,Nueva Chicago,0,0,Colon,B
9,29,B,Gimnasia (M),0,0,Estudiantes (RC),B
10,29,B,Gimnasia (S),0,0,Aldosivi,B
11,29,A,Arsenal,0,0,San Martin (T),A
12,29,A,San Martin (SJ),0,0,Chacarita,A
13,29,A,Brown (PM),0,0,Estudiantes (BA),A
14,29,A,Agropecuario,0,0,Talleres (RdE),A
15,29,A,All Boys,0,0,Quilmes,A
16,29,A,Tristan Suarez,0,0,San Miguel,A
17,29,A,Patronato,0,0,Ferro,A
18,29,A,Racing (C),0,0,Dep. Maipu,A
19,29,A,Guemes (SdE),0,0,Mitre (SdE),B
