Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,38,A,Agropecuario,0,0,Tristan Suarez,A
2,38,B,Dep. Moron,0,0,Temperley,B
3,38,B,Nueva Chicago,0,0,Brown (A),B
4,38,B,Gimnasia (M),0,0,Almagro,B
5,38,B,Gimnasia (S),0,0,Def. de Belgrano,B
6,38,B,Mitre (SdE),0,0,Chaco For Ever,B
7,38,B,Aldosivi,0,0,San Telmo,B
8,38,B,Estudiantes (RC),0,0,Atl Rafaela,B
9,38,B,Colon,0,0,Dep. Madryn,B
10,38,B,Alte Brown,0,0,Def. Unidos,B
11,38,A,Quilmes,0,0,San Miguel,A
12,38,A,Talleres (RdE),0,0,Ferro,A
13,38,A,Estudiantes (BA),0,0,Dep. Maipu,A
14,38,A,Chacarita,0,0,Gimnasia (J),A
15,38,A,San Martin (T),0,0,Guemes (SdE),A
16,38,A,Arsenal,0,0,Alvarado,A
17,38,A,San Martin (SJ),0,0,Racing (C),A
18,38,A,Brown (PM),0,0,Patronato,A
19,38,B,Atlanta,0,0,All Boys,A
