Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,22,A,Quilmes,0,0,Estudiantes (BA),A
2,22,B,Alte Brown,0,0,Colon,B
3,22,B,Atlanta,0,0,Estudiantes (RC),B
4,22,B,Def. Unidos,0,0,Aldosivi,B
5,22,B,Dep. Madryn,0,0,Mitre (SdE),B
6,22,B,Atl Rafaela,0,0,Gimnasia (S),B
7,22,B,San Telmo,0,0,Gimnasia (M),B
8,22,B,Chaco For Ever,0,0,Nueva Chicago,B
9,22,B,Def. de Belgrano,0,0,Dep. Moron,B
10,22,B,Almagro,0,0,Temperley,B
11,22,A,Patronato,0,0,Tristan Suarez,A
12,22,A,Racing (C),0,0,All Boys,A
13,22,A,Alvarado,0,0,Agropecuario,A
14,22,A,Guemes (SdE),0,0,Brown (PM),A
15,22,A,Gimnasia (J),0,0,San Martin (SJ),A
16,22,A,Dep. Maipu,0,0,Arsenal,A
17,22,A,Ferro,0,0,San Martin (T),A
18,22,A,San Miguel,0,0,Chacarita,A
19,22,B,Brown (A),0,0,Talleres (RdE),A
