Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,15,A,Agropecuario,0,0,San Martin (SJ),A
2,15,B,Nueva Chicago,0,0,Gimnasia (M),B
3,15,B,Dep. Moron,0,0,Gimnasia (S),B
4,15,B,Temperley,0,0,Mitre (SdE),B
5,15,B,Brown (A),0,0,Aldosivi,B
6,15,B,Almagro,0,0,Estudiantes (RC),B
7,15,B,Def. de Belgrano,0,0,Colon,B
8,15,B,Chaco For Ever,0,0,Alte Brown,B
9,15,B,San Telmo,0,0,Atlanta,B
10,15,B,Atl Rafaela,0,0,Def. Unidos,B
11,15,A,Dep. Maipu,0,0,Ferro,A
12,15,A,Gimnasia (J),0,0,San Miguel,A
13,15,A,Guemes (SdE),0,0,Quilmes,A
14,15,A,Alvarado,0,0,Talleres (RdE),A
15,15,A,Racing (C),0,0,Estudiantes (BA),A
16,15,A,Patronato,0,0,Chacarita,A
17,15,A,Tristan Suarez,0,0,San Martin (T),A
18,15,A,All Boys,0,0,Arsenal,A
19,15,A,Brown (PM),0,0,Dep. Madryn,B
