Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,21,A,All Boys,0,0,Patronato,A
2,21,B,Temperley,0,0,Brown (A),B
3,21,B,Dep. Moron,0,0,Almagro,B
4,21,B,Nueva Chicago,0,0,Def. de Belgrano,B
5,21,B,Gimnasia (M),0,0,Chaco For Ever,B
6,21,B,Gimnasia (S),0,0,San Telmo,B
7,21,B,Mitre (SdE),0,0,Atl Rafaela,B
8,21,B,Aldosivi,0,0,Dep. Madryn,B
9,21,B,Estudiantes (RC),0,0,Def. Unidos,B
10,21,B,Colon,0,0,Atlanta,B
11,21,A,Talleres (RdE),0,0,Quilmes,A
12,21,A,Estudiantes (BA),0,0,San Miguel,A
13,21,A,Chacarita,0,0,Ferro,A
14,21,A,San Martin (T),0,0,Dep. Maipu,A
15,21,A,Arsenal,0,0,Gimnasia (J),A
16,21,A,San Martin (SJ),0,0,Guemes (SdE),A
17,21,A,Brown (PM),0,0,Alvarado,A
18,21,A,Agropecuario,0,0,Racing (C),A
19,21,A,Tristan Suarez,0,0,Alte Brown,B
