Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,04,A,Racing (C),0,0,Tristan Suarez,A
2,04,B,Almagro,0,0,Brown (A),B
3,04,B,Def. de Belgrano,0,0,Temperley,B
4,04,B,Chaco For Ever,0,0,Dep. Moron,B
5,04,B,San Telmo,0,0,Nueva Chicago,B
6,04,B,Atl Rafaela,0,0,Gimnasia (M),B
7,04,B,Dep. Madryn,0,0,Gimnasia (S),B
8,04,B,Def. Unidos,0,0,Mitre (SdE),B
9,04,B,Atlanta,0,0,Aldosivi,B
10,04,B,Alte Brown,0,0,Estudiantes (RC),B
11,04,A,Talleres (RdE),0,0,Estudiantes (BA),A
12,04,A,Quilmes,0,0,Chacarita,A
13,04,A,San Miguel,0,0,San Martin (T),A
14,04,A,Ferro,0,0,Arsenal,A
15,04,A,Dep. Maipu,0,0,San Martin (SJ),A
16,04,A,Gimnasia (J),0,0,Brown (PM),A
17,04,A,Guemes (SdE),0,0,Agropecuario,A
18,04,A,Alvarado,0,0,All Boys,A
19,04,B,Colon,1,0,Patronato,A