Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,08,A,Guemes (SdE),0,0,Racing (C),A
2,08,B,Chaco For Ever,0,0,Def. de Belgrano,B
3,08,B,San Telmo,0,0,Almagro,B
4,08,B,Atl Rafaela,0,0,Brown (A),B
5,08,B,Dep. Madryn,0,0,Temperley,B
6,08,B,Def. Unidos,0,0,Dep. Moron,B
7,08,B,Atlanta,0,0,Nueva Chicago,B
8,08,B,Alte Brown,0,0,Gimnasia (M),B
9,08,B,Colon,0,0,Gimnasia (S),B
10,08,B,Estudiantes (RC),0,0,Mitre (SdE),B
11,08,A,Chacarita,0,0,San Martin (T),A
12,08,A,Estudiantes (BA),0,0,Arsenal,A
13,08,A,Talleres (RdE),0,0,San Martin (SJ),A
14,08,A,Quilmes,0,0,Brown (PM),A
15,08,A,San Miguel,0,0,Agropecuario,A
16,08,A,Ferro,0,0,All Boys,A
17,08,A,Dep. Maipu,0,0,Tristan Suarez,A
18,08,A,Gimnasia (J),0,0,Patronato,A
19,08,B,Aldosivi,0,0,Alvarado,A
