Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,31,A,Guemes (SdE),0,0,Dep. Maipu,A
2,31,B,San Telmo,0,0,Atl Rafaela,B
3,31,B,Chaco For Ever,0,0,Dep. Madryn,B
4,31,B,Def. de Belgrano,0,0,Def. Unidos,B
5,31,B,Almagro,0,0,Atlanta,B
6,31,B,Brown (A),0,0,Alte Brown,B
7,31,B,Temperley,0,0,Colon,B
8,31,B,Dep. Moron,0,0,Estudiantes (RC),B
9,31,B,Nueva Chicago,0,0,Aldosivi,B
10,31,B,Gimnasia (M),0,0,Mitre (SdE),B
11,31,A,San Martin (SJ),0,0,Arsenal,A
12,31,A,Brown (PM),0,0,San Martin (T),A
13,31,A,Agropecuario,0,0,Chacarita,A
14,31,A,All Boys,0,0,Estudiantes (BA),A
15,31,A,Tristan Suarez,0,0,Talleres (RdE),A
16,31,A,Patronato,0,0,Quilmes,A
17,31,A,Racing (C),0,0,San Miguel,A
18,31,A,Alvarado,0,0,Ferro,A
19,31,A,Gimnasia (J),0,0,Gimnasia (S),B
