Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,02,A,Patronato,0,0,All Boys,A
2,02,B,Brown (A),0,0,Temperley,B
3,02,B,Almagro,0,0,Dep. Moron,B
4,02,B,Def. de Belgrano,0,0,Nueva Chicago,B
5,02,B,Chaco For Ever,0,0,Gimnasia (M),B
6,02,B,San Telmo,0,0,Gimnasia (S),B
7,02,B,Atl Rafaela,0,0,Mitre (SdE),B
8,02,B,Dep. Madryn,0,0,Aldosivi,B
9,02,B,Def. Unidos,0,0,Estudiantes (RC),B
10,02,B,Atlanta,0,0,Colon,B
11,02,A,Quilmes,0,0,Talleres (RdE),A
12,02,A,San Miguel,0,0,Estudiantes (BA),A
13,02,A,Ferro,0,0,Chacarita,A
14,02,A,Dep. Maipu,0,0,San Martin (T),A
15,02,A,Gimnasia (J),0,0,Arsenal,A
16,02,A,Guemes (SdE),0,0,San Martin (SJ),A
17,02,A,Alvarado,0,0,Brown (PM),A
18,02,A,Racing (C),0,0,Agropecuario,A
19,02,B,Alte Brown,0,0,Tristan Suarez,A
