Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,37,A,Ferro,0,0,Quilmes,A
2,37,B,Def. Unidos,0,0,Atlanta,B
3,37,B,Dep. Madryn,0,0,Alte Brown,B
4,37,B,Atl Rafaela,0,0,Colon,B
5,37,B,San Telmo,0,0,Estudiantes (RC),B
6,37,B,Chaco For Ever,0,0,Aldosivi,B
7,37,B,Def. de Belgrano,0,0,Mitre (SdE),B
8,37,B,Almagro,0,0,Gimnasia (S),B
9,37,B,Brown (A),0,0,Gimnasia (M),B
10,37,B,Temperley,0,0,Nueva Chicago,B
11,37,A,All Boys,0,0,Agropecuario,A
12,37,A,Tristan Suarez,0,0,Brown (PM),A
13,37,A,Patronato,0,0,San Martin (SJ),A
14,37,A,Racing (C),0,0,Arsenal,A
15,37,A,Alvarado,0,0,San Martin (T),A
16,37,A,Guemes (SdE),0,0,Chacarita,A
17,37,A,Gimnasia (J),0,0,Estudiantes (BA),A
18,37,A,Dep. Maipu,0,0,Talleres (RdE),A
19,37,A,San Miguel,0,0,Dep. Moron,B
