Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,27,A,Racing (C),0,0,Guemes (SdE),A
2,27,B,Def. de Belgrano,0,0,Chaco For Ever,B
3,27,B,Almagro,0,0,San Telmo,B
4,27,B,Brown (A),0,0,Atl Rafaela,B
5,27,B,Temperley,0,0,Dep. Madryn,B
6,27,B,Dep. Moron,0,0,Def. Unidos,B
7,27,B,Nueva Chicago,0,0,Atlanta,B
8,27,B,Gimnasia (M),0,0,Alte Brown,B
9,27,B,Gimnasia (S),0,0,Colon,B
10,27,B,Mitre (SdE),0,0,Estudiantes (RC),B
11,27,A,San Martin (T),0,0,Chacarita,A
12,27,A,Arsenal,0,0,Estudiantes (BA),A
13,27,A,San Martin (SJ),0,0,Talleres (RdE),A
14,27,A,Brown (PM),0,0,Quilmes,A
15,27,A,Agropecuario,0,0,San Miguel,A
16,27,A,All Boys,0,0,Ferro,A
17,27,A,Tristan Suarez,0,0,Dep. Maipu,A
18,27,A,Patronato,0,0,Gimnasia (J),A
19,27,A,Alvarado,0,0,Aldosivi,B
