Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,10,A,Gimnasia (J),0,0,Alvarado,A
2,10,B,San Telmo,0,0,Chaco For Ever,B
3,10,B,Atl Rafaela,0,0,Def. de Belgrano,B
4,10,B,Dep. Madryn,0,0,Almagro,B
5,10,B,Def. Unidos,0,0,Brown (A),B
6,10,B,Atlanta,0,0,Temperley,B
7,10,B,Alte Brown,0,0,Dep. Moron,B
8,10,B,Colon,0,0,Nueva Chicago,B
9,10,B,Estudiantes (RC),0,0,Gimnasia (M),B
10,10,B,Aldosivi,0,0,Gimnasia (S),B
11,10,A,San Martin (T),0,0,Arsenal,A
12,10,A,Chacarita,0,0,San Martin (SJ),A
13,10,A,Estudiantes (BA),0,0,Brown (PM),A
14,10,A,Talleres (RdE),0,0,Agropecuario,A
15,10,A,Quilmes,0,0,All Boys,A
16,10,A,San Miguel,0,0,Tristan Suarez,A
17,10,A,Ferro,0,0,Patronato,A
18,10,A,Dep. Maipu,0,0,Racing (C),A
19,10,B,Mitre (SdE),0,0,Guemes (SdE),A
