Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,24,A,Talleres (RdE),0,0,Chacarita,A
2,24,B,Colon,0,0,Estudiantes (RC),B
3,24,B,Alte Brown,0,0,Aldosivi,B
4,24,B,Atlanta,0,0,Mitre (SdE),B
5,24,B,Def. Unidos,0,0,Gimnasia (S),B
6,24,B,Dep. Madryn,0,0,Gimnasia (M),B
7,24,B,Atl Rafaela,0,0,Nueva Chicago,B
8,24,B,San Telmo,0,0,Dep. Moron,B
9,24,B,Chaco For Ever,0,0,Temperley,B
10,24,B,Def. de Belgrano,0,0,Brown (A),B
11,24,A,Racing (C),0,0,Patronato,A
12,24,A,Alvarado,0,0,Tristan Suarez,A
13,24,A,Guemes (SdE),0,0,All Boys,A
14,24,A,Gimnasia (J),0,0,Agropecuario,A
15,24,A,Dep. Maipu,0,0,Brown (PM),A
16,24,A,Ferro,0,0,San Martin (SJ),A
17,24,A,San Miguel,0,0,Arsenal,A
18,24,A,Quilmes,0,0,San Martin (T),A
19,24,B,Almagro,0,0,Estudiantes (BA),A
