Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,23,A,Tristan Suarez,0,0,Racing (C),A
2,23,B,Brown (A),0,0,Almagro,B
3,23,B,Temperley,0,0,Def. de Belgrano,B
4,23,B,Dep. Moron,0,0,Chaco For Ever,B
5,23,B,Nueva Chicago,0,0,San Telmo,B
6,23,B,Gimnasia (M),0,0,Atl Rafaela,B
7,23,B,Gimnasia (S),0,0,Dep. Madryn,B
8,23,B,Mitre (SdE),0,0,Def. Unidos,B
9,23,B,Aldosivi,0,0,Atlanta,B
10,23,B,Estudiantes (RC),0,0,Alte Brown,B
11,23,A,Estudiantes (BA),0,0,Talleres (RdE),A
12,23,A,Chacarita,0,0,Quilmes,A
13,23,A,San Martin (T),0,0,San Miguel,A
14,23,A,Arsenal,0,0,Ferro,A
15,23,A,San Martin (SJ),0,0,Dep. Maipu,A
16,23,A,Brown (PM),0,0,Gimnasia (J),A
17,23,A,Agropecuario,0,0,Guemes (SdE),A
18,23,A,All Boys,0,0,Alvarado,A
19,23,A,Patronato,0,0,Colon,B
