Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,21,A,All Boys,0,0,Patronato,A
2,21,A,Talleres (RdE),0,0,Quilmes,A
3,21,A,Estudiantes (BA),0,0,San Miguel,A
4,21,A,Chacarita,0,0,Ferro,A
5,21,A,San Martin (T),0,0,Dep Maipú,A
6,21,A,Arsenal,0,0,Gimnasia (J),A
7,21,A,San Martin (SJ),0,0,Guemes (SdE),A
8,21,A,Brown (PM),0,0,Alvarado MdP,A
9,21,A,Agropecuario,0,0,Racing (C),A
10,21,B,Temperley,0,0,Brown (A),B
11,21,B,Dep Morón,0,0,Almagro,B
12,21,B,Nueva Chicago,0,0,Def Belgrano,B
13,21,B,Gimnasia (M),0,0,Chaco For Ever,B
14,21,B,Gimnasia (S),0,0,San Telmo,B
15,21,B,Mitre (SdE),0,0,Atl Rafaela,B
16,21,B,Aldosivi,0,0,Dep Madryn,B
17,21,B,Estudiantes (RC),0,0,Def Unidos,B
18,21,B,Colón,0,0,Atlanta,B
19,21,A,Tristán Suárez,0,0,Alte Brown,B
