Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,35,A,Agropecuario,0,0,Brown (PM),A
2,35,A,All Boys,0,0,San Martin (SJ),A
3,35,A,Tristan Suarez,0,0,Arsenal,A
4,35,A,Patronato,0,0,San Martin (T),A
5,35,A,Racing (C),0,0,Chacarita,A
6,35,A,Alvarado,0,0,Estudiantes (BA),A
7,35,A,Guemes (SdE),0,0,Talleres (RdE),A
8,35,A,Gimnasia (J),0,0,Quilmes,A
9,35,A,Ferro,0,0,Nueva Chicago,B
10,35,B,Dep. Moron,0,0,Gimnasia (M),B
11,35,B,Dep. Madryn,0,0,Def. Unidos,B
12,35,B,Atl Rafaela,0,0,Atlanta,B
13,35,B,San Telmo,0,0,Alte Brown,B
14,35,B,Chaco For Ever,0,0,Colon,B
15,35,B,Def. de Belgrano,0,0,Estudiantes (RC),B
16,35,B,Almagro,0,0,Aldosivi,B
17,35,B,Brown (A),0,0,Mitre (SdE),B
18,35,B,Temperley,0,0,Gimnasia (S),B
19,35,B,Dep. Maipu,0,0,San Miguel,A
