Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,17,A,All Boys,0,0,Brown (PM),A
2,17,A,Ferro,0,0,San Miguel,A
3,17,A,Dep. Maipu,0,0,Quilmes,A
4,17,A,Gimnasia (J),0,0,Talleres (RdE),A
5,17,A,Guemes (SdE),0,0,Estudiantes (BA),A
6,17,A,Alvarado,0,0,Chacarita,A
7,17,A,Racing (C),0,0,San Martin (T),A
8,17,A,Patronato,0,0,Arsenal,A
9,17,A,Tristan Suarez,0,0,San Martin (SJ),A
10,17,B,Dep. Moron,0,0,Nueva Chicago,B
11,17,B,Temperley,0,0,Gimnasia (M),B
12,17,B,Brown (A),0,0,Gimnasia (S),B
13,17,B,Almagro,0,0,Mitre (SdE),B
14,17,B,Def. de Belgrano,0,0,Aldosivi,B
15,17,B,Chaco For Ever,0,0,Estudiantes (RC),B
16,17,B,San Telmo,0,0,Colon,B
17,17,B,Atl Rafaela,0,0,Alte Brown,B
18,17,B,Dep. Madryn,0,0,Atlanta,B
19,17,A,Agropecuario,0,0,Def. Unidos,B
