Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,27,A,Racing (C),0,0,Guemes (SdE),A
2,27,A,San Martin (T),0,0,Chacarita,A
3,27,A,Arsenal,0,0,Estudiantes (BA),A
4,27,A,San Martin (SJ),0,0,Talleres (RdE),A
5,27,A,Brown (PM),0,0,Quilmes,A
6,27,A,Agropecuario,0,0,San Miguel,A
7,27,A,All Boys,0,0,Ferro,A
8,27,A,Tristán Suárez,0,0,Dep Maipú,A
9,27,A,Patronato,0,0,Gimnasia (J),A
10,27,B,Def Belgrano,0,0,Chaco For Ever,B
11,27,B,Almagro,0,0,San Telmo,B
12,27,B,Brown (A),0,0,Atl Rafaela,B
13,27,B,Temperley,0,0,Dep Madryn,B
14,27,B,Dep Morón,0,0,Def Unidos,B
15,27,B,Nueva Chicago,0,0,Atlanta,B
16,27,B,Gimnasia (M),0,0,Alte Brown,B
17,27,B,Gimnasia (S),0,0,Colón,B
18,27,B,Mitre (SdE),0,0,Estudiantes (RC),B
19,27,A,Alvarado MdP,0,0,Aldosivi,B
