Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,05,A,Chacarita,0,0,Talleres (RdE),A
2,05,A,Patronato,0,0,Racing (C),A
3,05,A,Tristán Suárez,0,0,Alvarado MdP,A
4,05,A,San Martin (T),0,0,Quilmes,A
5,05,A,All Boys,0,0,Guemes (SdE),A
6,05,A,Agropecuario,0,0,Gimnasia (J),A
7,05,A,Brown (PM),0,0,Dep Maipú,A
8,05,A,San Martin (SJ),0,0,Ferro,A
9,05,A,Arsenal,0,0,San Miguel,A
10,05,B,Estudiantes (RC),0,0,Colón,B
11,05,B,Aldosivi,0,0,Alte Brown,B
12,05,B,Mitre (SdE),0,0,Atlanta,B
13,05,B,Gimnasia (S),0,0,Def Unidos,B
14,05,B,Gimnasia (M),0,0,Dep Madryn,B
15,05,B,Nueva Chicago,0,0,Atl Rafaela,B
16,05,B,Dep Morón,0,0,San Telmo,B
17,05,B,Temperley,0,0,Chaco For Ever,B
18,05,B,Brown (A),0,0,Def Belgrano,B
19,05,A,Estudiantes (BA),0,0,Almagro,B
