Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,12,A,Dep. Maipu,0,0,Guemes (SdE),A
2,12,A,Arsenal,0,0,San Martin (SJ),A
3,12,A,San Martin (T),0,0,Brown (PM),A
4,12,A,Chacarita,0,0,Agropecuario,A
5,12,A,Estudiantes (BA),0,0,All Boys,A
6,12,A,Talleres (RdE),0,0,Tristan Suarez,A
7,12,A,Quilmes,0,0,Patronato,A
8,12,A,San Miguel,0,0,Racing (C),A
9,12,A,Ferro,0,0,Alvarado,A
10,12,B,Atl Rafaela,0,0,San Telmo,B
11,12,B,Dep. Madryn,0,0,Chaco For Ever,B
12,12,B,Def. Unidos,0,0,Def. de Belgrano,B
13,12,B,Atlanta,0,0,Almagro,B
14,12,B,Alte Brown,0,0,Brown (A),B
15,12,B,Colon,0,0,Temperley,B
16,12,B,Estudiantes (RC),0,0,Dep. Moron,B
17,12,B,Aldosivi,0,0,Nueva Chicago,B
18,12,B,Mitre (SdE),0,0,Gimnasia (M),B
19,12,B,Gimnasia (S),0,0,Gimnasia (J),A
