Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,09,A,Arsenal,0,0,Chacarita,A
2,09,A,Alvarado MdP,0,0,Guemes (SdE),A
3,09,A,Racing (C),0,0,Gimnasia (J),A
4,09,A,Patronato,0,0,Dep Maipú,A
5,09,A,Tristán Suárez,0,0,Ferro,A
6,09,A,All Boys,0,0,San Miguel,A
7,09,A,Agropecuario,0,0,Quilmes,A
8,09,A,Brown (PM),0,0,Talleres (RdE),A
9,09,A,San Martin (SJ),0,0,Estudiantes (BA),A
10,09,B,Def Belgrano,0,0,San Telmo,B
11,09,B,Mitre (SdE),0,0,Aldosivi,B
12,09,B,Gimnasia (S),0,0,Estudiantes (RC),B
13,09,B,Gimnasia (M),0,0,Colón,B
14,09,B,Nueva Chicago,0,0,Alte Brown,B
15,09,B,Dep Morón,0,0,Atlanta,B
16,09,B,Temperley,0,0,Def Unidos,B
17,09,B,Brown (A),0,0,Dep Madryn,B
18,09,B,Almagro,0,0,Atl Rafaela,B
19,09,A,San Martin (T),0,0,Chaco For Ever,B
