Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,24,A,Talleres (RdE),0,0,Chacarita,A
2,24,A,Racing (C),0,0,Patronato,A
3,24,A,Alvarado MdP,0,0,Tristán Suárez,A
4,24,A,Guemes (SdE),0,0,All Boys,A
5,24,A,Gimnasia (J),0,0,Agropecuario,A
6,24,A,Dep Maipú,0,0,Brown (PM),A
7,24,A,Ferro,0,0,San Martin (SJ),A
8,24,A,San Miguel,0,0,Arsenal,A
9,24,A,Quilmes,0,0,San Martin (T),A
10,24,B,Colón,0,0,Estudiantes (RC),B
11,24,B,Alte Brown,0,0,Aldosivi,B
12,24,B,Atlanta,0,0,Mitre (SdE),B
13,24,B,Def Unidos,0,0,Gimnasia (S),B
14,24,B,Dep Madryn,0,0,Gimnasia (M),B
15,24,B,Atl Rafaela,0,0,Nueva Chicago,B
16,24,B,San Telmo,0,0,Dep Morón,B
17,24,B,Chaco For Ever,0,0,Temperley,B
18,24,B,Def Belgrano,0,0,Brown (A),B
19,24,B,Almagro,0,0,Estudiantes (BA),A
