Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,07,A,San Martin (T),0,0,Estudiantes (BA),A
2,07,A,Racing (C),0,0,Alvarado MdP,A
3,07,A,Patronato,0,0,Guemes (SdE),A
4,07,A,Tristán Suárez,0,0,Gimnasia (J),A
5,07,A,All Boys,0,0,Dep Maipú,A
6,07,A,Agropecuario,0,0,Ferro,A
7,07,A,Brown (PM),0,0,San Miguel,A
8,07,A,San Martin (SJ),0,0,Quilmes,A
9,07,A,Arsenal,0,0,Talleres (RdE),A
10,07,B,Aldosivi,0,0,Estudiantes (RC),B
11,07,B,Mitre (SdE),0,0,Colón,B
12,07,B,Gimnasia (S),0,0,Alte Brown,B
13,07,B,Gimnasia (M),0,0,Atlanta,B
14,07,B,Nueva Chicago,0,0,Def Unidos,B
15,07,B,Dep Morón,0,0,Dep Madryn,B
16,07,B,Temperley,0,0,Atl Rafaela,B
17,07,B,Brown (A),0,0,San Telmo,B
18,07,B,Almagro,0,0,Chaco For Ever,B
19,07,A,Chacarita,0,0,Def Belgrano,B
