Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,23,A,Tristán Suárez,0,0,Racing (C),A
2,23,A,Estudiantes (BA),0,0,Talleres (RdE),A
3,23,A,Chacarita,0,0,Quilmes,A
4,23,A,San Martin (T),0,0,San Miguel,A
5,23,A,Arsenal,0,0,Ferro,A
6,23,A,San Martin (SJ),0,0,Dep Maipú,A
7,23,A,Brown (PM),0,0,Gimnasia (J),A
8,23,A,Agropecuario,0,0,Guemes (SdE),A
9,23,A,All Boys,0,0,Alvarado MdP,A
10,23,B,Brown (A),0,0,Almagro,B
11,23,B,Temperley,0,0,Def Belgrano,B
12,23,B,Dep Morón,0,0,Chaco For Ever,B
13,23,B,Nueva Chicago,0,0,San Telmo,B
14,23,B,Gimnasia (M),0,0,Atl Rafaela,B
15,23,B,Gimnasia (S),0,0,Dep Madryn,B
16,23,B,Mitre (SdE),0,0,Def Unidos,B
17,23,B,Aldosivi,0,0,Atlanta,B
18,23,B,Estudiantes (RC),0,0,Alte Brown,B
19,23,A,Patronato,0,0,Colón,B
