Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,14,A,Ferro,0,0,Gimnasia (J),A
2,14,A,San Martin (SJ),0,0,Brown (PM),A
3,14,A,Arsenal,0,0,Agropecuario,A
4,14,A,San Martin (T),0,0,All Boys,A
5,14,A,Chacarita,0,0,Tristan Suarez,A
6,14,A,Estudiantes (BA),0,0,Patronato,A
7,14,A,Talleres (RdE),0,0,Racing (C),A
8,14,A,Quilmes,0,0,Alvarado,A
9,14,A,San Miguel,0,0,Guemes (SdE),A
10,14,B,Dep. Madryn,0,0,Atl Rafaela,B
11,14,B,Def. Unidos,0,0,San Telmo,B
12,14,B,Atlanta,0,0,Chaco For Ever,B
13,14,B,Alte Brown,0,0,Def. de Belgrano,B
14,14,B,Colon,0,0,Almagro,B
15,14,B,Estudiantes (RC),0,0,Brown (A),B
16,14,B,Aldosivi,0,0,Temperley,B
17,14,B,Mitre (SdE),0,0,Dep. Moron,B
18,14,B,Gimnasia (S),0,0,Nueva Chicago,B
19,14,B,Gimnasia (M),0,0,Dep. Maipu,A
