Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,25,A,Patronato,0,0,Alvarado MdP,A
2,25,A,Chacarita,0,0,Estudiantes (BA),A
3,25,A,San Martin (T),0,0,Talleres (RdE),A
4,25,A,Arsenal,0,0,Quilmes,A
5,25,A,San Martin (SJ),0,0,San Miguel,A
6,25,A,Brown (PM),0,0,Ferro,A
7,25,A,Agropecuario,0,0,Dep Maipú,A
8,25,A,All Boys,0,0,Gimnasia (J),A
9,25,A,Tristán Suárez,0,0,Guemes (SdE),A
10,25,B,Almagro,0,0,Def Belgrano,B
11,25,B,Brown (A),0,0,Chaco For Ever,B
12,25,B,Temperley,0,0,San Telmo,B
13,25,B,Dep Morón,0,0,Atl Rafaela,B
14,25,B,Nueva Chicago,0,0,Dep Madryn,B
15,25,B,Gimnasia (M),0,0,Def Unidos,B
16,25,B,Gimnasia (S),0,0,Atlanta,B
17,25,B,Mitre (SdE),0,0,Alte Brown,B
18,25,B,Aldosivi,0,0,Colón,B
19,25,A,Racing (C),0,0,Estudiantes (RC),B
