Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,26,A,Estudiantes (BA),0,0,San Martin (T),A
2,26,A,Alvarado,0,0,Racing (C),A
3,26,A,Guemes (SdE),0,0,Patronato,A
4,26,A,Gimnasia (J),0,0,Tristan Suarez,A
5,26,A,Dep. Maipu,0,0,All Boys,A
6,26,A,Ferro,0,0,Agropecuario,A
7,26,A,San Miguel,0,0,Brown (PM),A
8,26,A,Quilmes,0,0,San Martin (SJ),A
9,26,A,Talleres (RdE),0,0,Arsenal,A
10,26,B,Estudiantes (RC),0,0,Aldosivi,B
11,26,B,Colon,0,0,Mitre (SdE),B
12,26,B,Alte Brown,0,0,Gimnasia (S),B
13,26,B,Atlanta,0,0,Gimnasia (M),B
14,26,B,Def. Unidos,0,0,Nueva Chicago,B
15,26,B,Dep. Madryn,0,0,Dep. Moron,B
16,26,B,Atl Rafaela,0,0,Temperley,B
17,26,B,San Telmo,0,0,Brown (A),B
18,26,B,Chaco For Ever,0,0,Almagro,B
19,26,B,Def. de Belgrano,0,0,Chacarita,A
