Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,18,A,Quilmes,0,0,Ferro,A
2,18,A,Agropecuario,0,0,All Boys,A
3,18,A,Brown (PM),0,0,Tristan Suarez,A
4,18,A,San Martin (SJ),0,0,Patronato,A
5,18,A,Arsenal,0,0,Racing (C),A
6,18,A,San Martin (T),0,0,Alvarado,A
7,18,A,Chacarita,0,0,Guemes (SdE),A
8,18,A,Estudiantes (BA),0,0,Gimnasia (J),A
9,18,A,Talleres (RdE),0,0,Dep. Maipu,A
10,18,B,Atlanta,0,0,Def. Unidos,B
11,18,B,Alte Brown,0,0,Dep. Madryn,B
12,18,B,Colon,0,0,Atl Rafaela,B
13,18,B,Estudiantes (RC),0,0,San Telmo,B
14,18,B,Aldosivi,0,0,Chaco For Ever,B
15,18,B,Mitre (SdE),0,0,Def. de Belgrano,B
16,18,B,Gimnasia (S),0,0,Almagro,B
17,18,B,Gimnasia (M),0,0,Brown (A),B
18,18,B,Nueva Chicago,0,0,Temperley,B
19,18,B,Dep. Moron,0,0,San Miguel,A
