Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,34,A,Ferro,0,0,Dep. Maipu,A
2,34,A,San Miguel,0,0,Gimnasia (J),A
3,34,A,Quilmes,0,0,Guemes (SdE),A
4,34,A,Talleres (RdE),0,0,Alvarado,A
5,34,A,Estudiantes (BA),0,0,Racing (C),A
6,34,A,Chacarita,0,0,Patronato,A
7,34,A,San Martin (T),0,0,Tristan Suarez,A
8,34,A,Arsenal,0,0,All Boys,A
9,34,A,San Martin (SJ),0,0,Agropecuario,A
10,34,B,Def. Unidos,0,0,Atl Rafaela,B
11,34,B,Gimnasia (M),0,0,Nueva Chicago,B
12,34,B,Gimnasia (S),0,0,Dep. Moron,B
13,34,B,Mitre (SdE),0,0,Temperley,B
14,34,B,Aldosivi,0,0,Brown (A),B
15,34,B,Estudiantes (RC),0,0,Almagro,B
16,34,B,Colon,0,0,Def. de Belgrano,B
17,34,B,Alte Brown,0,0,Chaco For Ever,B
18,34,B,Atlanta,0,0,San Telmo,B
19,34,B,Dep. Madryn,0,0,Brown (PM),A
