Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,22,A,Quilmes,0,0,Estudiantes (BA),A
2,22,A,Patronato,0,0,Tristán Suárez,A
3,22,A,Racing (C),0,0,All Boys,A
4,22,A,Alvarado MdP,0,0,Agropecuario,A
5,22,A,Guemes (SdE),0,0,Brown (PM),A
6,22,A,Gimnasia (J),0,0,San Martin (SJ),A
7,22,A,Dep Maipú,0,0,Arsenal,A
8,22,A,Ferro,0,0,San Martin (T),A
9,22,A,San Miguel,0,0,Chacarita,A
10,22,B,Alte Brown,0,0,Colón,B
11,22,B,Atlanta,0,0,Estudiantes (RC),B
12,22,B,Def Unidos,0,0,Aldosivi,B
13,22,B,Dep Madryn,0,0,Mitre (SdE),B
14,22,B,Atl Rafaela,0,0,Gimnasia (S),B
15,22,B,San Telmo,0,0,Gimnasia (M),B
16,22,B,Chaco For Ever,0,0,Nueva Chicago,B
17,22,B,Def Belgrano,0,0,Dep Morón,B
18,22,B,Almagro,0,0,Temperley,B
19,22,B,Brown (A),0,0,Talleres (RdE),A
