Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,38,A,Agropecuario,0,0,Tristan Suarez,A
2,38,A,Quilmes,0,0,San Miguel,A
3,38,A,Talleres (RdE),0,0,Ferro,A
4,38,A,Estudiantes (BA),0,0,Dep. Maipu,A
5,38,A,Chacarita,0,0,Gimnasia (J),A
6,38,A,San Martin (T),0,0,Guemes (SdE),A
7,38,A,Arsenal,0,0,Alvarado,A
8,38,A,San Martin (SJ),0,0,Racing (C),A
9,38,A,Brown (PM),0,0,Patronato,A
10,38,B,Dep. Moron,0,0,Temperley,B
11,38,B,Nueva Chicago,0,0,Brown (A),B
12,38,B,Gimnasia (M),0,0,Almagro,B
13,38,B,Gimnasia (S),0,0,Def. de Belgrano,B
14,38,B,Mitre (SdE),0,0,Chaco For Ever,B
15,38,B,Aldosivi,0,0,San Telmo,B
16,38,B,Estudiantes (RC),4,3,Atl Rafaela,B
17,38,B,Colon,0,0,Dep. Madryn,B
18,38,B,Alte Brown,0,0,Def. Unidos,B
19,38,B,Atlanta,0,0,All Boys,A
