Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,16,A,San Miguel,0,0,Dep. Maipu,A
2,16,A,Brown (PM),0,0,Agropecuario,A
3,16,A,San Martin (SJ),0,0,All Boys,A
4,16,A,Arsenal,0,0,Tristan Suarez,A
5,16,A,San Martin (T),0,0,Patronato,A
6,16,A,Chacarita,0,0,Racing (C),A
7,16,A,Estudiantes (BA),0,0,Alvarado,A
8,16,A,Talleres (RdE),0,0,Guemes (SdE),A
9,16,A,Quilmes,0,0,Gimnasia (J),A
10,16,B,Def. Unidos,0,0,Dep. Madryn,B
11,16,B,Atlanta,0,0,Atl Rafaela,B
12,16,B,Alte Brown,0,0,San Telmo,B
13,16,B,Colon,0,0,Chaco For Ever,B
14,16,B,Estudiantes (RC),0,0,Def. de Belgrano,B
15,16,B,Aldosivi,0,0,Almagro,B
16,16,B,Mitre (SdE),0,0,Brown (A),B
17,16,B,Gimnasia (S),0,0,Temperley,B
18,16,B,Gimnasia (M),0,0,Dep. Moron,B
19,16,B,Nueva Chicago,0,0,Ferro,A
