Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,06,A,Estudiantes (BA),0,0,Chacarita,A
2,06,A,Talleres (RdE),0,0,San Martin (T),A
3,06,A,Quilmes,0,0,Arsenal,A
4,06,A,San Miguel,0,0,San Martin (SJ),A
5,06,A,Ferro,0,0,Brown (PM),A
6,06,A,Dep. Maipu,0,0,Agropecuario,A
7,06,A,Gimnasia (J),0,0,All Boys,A
8,06,A,Guemes (SdE),0,0,Tristan Suarez,A
9,06,A,Alvarado,0,0,Patronato,A
10,06,B,Def. de Belgrano,0,0,Almagro,B
11,06,B,Chaco For Ever,0,0,Brown (A),B
12,06,B,San Telmo,0,0,Temperley,B
13,06,B,Atl Rafaela,0,0,Dep. Moron,B
14,06,B,Dep. Madryn,0,0,Nueva Chicago,B
15,06,B,Def. Unidos,0,0,Gimnasia (M),B
16,06,B,Atlanta,0,0,Gimnasia (S),B
17,06,B,Alte Brown,0,0,Mitre (SdE),B
18,06,B,Colon,0,0,Aldosivi,B
19,06,B,Estudiantes (RC),0,0,Racing (C),A
