Partido,Fecha,ZonaL,Local,GolL,GolV,Visitante,ZonaV
1,11,A,Guemes (SdE),0,0,Gimnasia (J),A
2,11,A,Alvarado MdP,0,0,Dep Maipú,A
3,11,A,Racing (C),0,0,Ferro,A
4,11,A,Patronato,0,0,San Miguel,A
5,11,A,Tristán Suárez,0,0,Quilmes,A
6,11,A,All Boys,0,0,Talleres (RdE),A
7,11,A,Agropecuario,0,0,Estudiantes (BA),A
8,11,A,Brown (PM),0,0,Chacarita,A
9,11,A,San Martin (SJ),0,0,San Martin (T),A
10,11,B,Gimnasia (S),0,0,Mitre (SdE),B
11,11,B,Gimnasia (M),0,0,Aldosivi,B
12,11,B,Nueva Chicago,0,0,Estudiantes (RC),B
13,11,B,Dep Morón,0,0,Colón,B
14,11,B,Temperley,0,0,Alte Brown,B
15,11,B,Brown (A),0,0,Atlanta,B
16,11,B,Almagro,0,0,Def Unidos,B
17,11,B,Def Belgrano,0,0,Dep Madryn,B
18,11,B,Chaco For Ever,0,0,Atl Rafaela,B
19,11,A,Arsenal,0,0,San Telmo,B
